timestamp,open,high,low,close,volume
2019-05-22,4.4200,4.5400,4.3900,4.5300,12848630
2019-05-21,4.2800,4.4600,4.2500,4.4200,18984598
2019-05-20,4.3100,4.3600,4.1400,4.2700,17862636
2019-05-17,4.6600,4.7400,4.4000,4.4300,21757671
2019-05-16,4.5600,4.6100,4.5300,4.5600,13591453
2019-05-15,4.5800,4.6000,4.4800,4.5600,19581590
2019-05-14,4.4200,4.5600,4.3900,4.5200,15005451
2019-05-13,4.5000,4.5300,4.4500,4.4800,14736634
2019-05-10,4.5300,4.5800,4.4100,4.5600,22059117
2019-05-09,4.4900,4.5600,4.4100,4.4900,24570098
2019-05-08,4.3700,4.6000,4.3200,4.5300,15713023
2019-05-07,4.6100,4.6400,4.4000,4.4900,20856820
2019-05-06,4.8100,4.8100,4.4600,4.5800,27351374
2019-04-26,5.1300,5.2400,5.0700,5.0800,14488504
2019-04-25,5.3800,5.3800,5.1000,5.1300,21296719
2019-04-24,5.2200,5.3900,5.2100,5.3900,19847215
2019-04-23,5.4700,5.5100,5.3500,5.4100,19846300
2019-04-22,5.7100,5.7100,5.4400,5.5000,31504385
2019-04-19,5.6300,5.7800,5.4900,5.6700,27553440
2019-04-18,5.7500,5.7700,5.5800,5.6000,42348675
2019-04-17,5.4600,5.7900,5.3800,5.6900,81139271
2019-04-16,5.5500,5.5500,5.1600,5.3800,60599324
2019-04-15,5.7300,5.9200,5.6300,5.6400,63695140
2019-04-12,5.7900,6.0100,5.6700,5.8800,40438676
2019-04-11,5.8500,6.2100,5.7200,5.8900,63632301
2019-04-10,5.5100,6.0500,5.4400,5.9500,100736561
2019-04-09,5.2800,5.7200,5.2400,5.6000,84198151
2019-04-08,5.4800,5.5300,5.1900,5.3300,89739200
2019-04-04,5.3900,5.4500,5.2900,5.3400,58107196
2019-04-03,5.2400,5.4000,5.1900,5.3900,54087525
2019-04-02,5.3200,5.3400,5.2300,5.2600,37508361
2019-04-01,5.4100,5.4600,5.2400,5.3000,73373890
2019-03-29,5.1400,5.3000,5.0500,5.3000,42400983
2019-03-28,5.0600,5.1500,4.9600,5.0800,22780968
2019-03-27,5.0500,5.1400,4.9000,5.1000,23179119
2019-03-26,5.0900,5.1600,4.9500,5.0200,23911766
2019-03-25,5.1500,5.2000,5.0900,5.1000,26450170
2019-03-22,5.1300,5.2600,5.0300,5.2200,34308877
2019-03-21,5.1900,5.2400,5.1200,5.1300,27200926
2019-03-20,5.1600,5.2600,5.0800,5.2000,50127382
2019-03-19,4.9600,5.1800,4.9400,5.1300,47951987
2019-03-18,4.8900,4.9400,4.8100,4.9200,32644298
2019-03-15,4.8100,4.8800,4.7600,4.8200,31511741
2019-03-14,4.9200,4.9600,4.7400,4.8000,27708365
2019-03-13,5.0500,5.0700,4.9100,4.9200,29591782
2019-03-12,5.0700,5.1400,5.0100,5.0600,36725287
2019-03-11,4.9300,5.0500,4.9100,5.0400,25524812
2019-03-08,5.2000,5.2000,4.8500,4.9400,46701467
